pu_id,area
658,27770184.9277344000
662,64247858.2495117000
663,64951905.2841797000
664,64951905.2841797000
665,64951905.2836914000
666,64951905.2841797000
667,64951905.2836914000
668,64951905.2836914000
669,64951905.2841797000
670,64951905.2832031000
671,64951905.2841797000
672,64951905.2836914000
673,64951905.2836914000
674,64951905.2836914000
675,64951905.2836914000
676,64951905.2841797000
677,64951905.2841797000
678,64951905.2836914000
679,64951905.2841797000
680,64951905.2836914000
683,566292.6274414060
684,64951905.2832031000
685,64951905.2841797000
686,64951905.2841797000
687,64951905.2832031000
688,64951905.2846680000
689,64951905.2841797000
690,64951905.2846680000
691,64951905.2832031000
692,64951905.2841797000
693,64951905.2841797000
694,64951905.2836914000
695,64951905.2832031000
696,64951905.2836914000
697,64951905.2846680000
698,64951905.2836914000
699,64951905.2836914000
700,64951905.2836914000
